2024; ;;;;;PARIS;;;Bretelles pour BP;;;;;SANEF;;;;SAPN;;;;COFIROUTE;;;;AGER NORD;;;;;;;;;;;;;;;;;;;;;AGER NORD et EST;;AGER EST;;;;;;;;;;;;;;;;;;;;;;AGER Est et Sud;;AGER SUD;;;;;;;;;;;;;;;;;;;;;;;;;;AGER OUEST;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;; ; ;; ;75BP Int;75BP Ext;autres;A1;A3;A4;A6b;A13;A1 Y;A1 W;A4San Y;A4San W;A13 Y;A13 W;A14 Y;A14 W;COFA86 Y;COFA86 W;A10COF Y;A10COF W;N184 Int;N184 Ext;N104N Int;N104N Ext;N1/A16;A115 Y;A115 W;A15 Y;A15 W;N14 Y;N14 W;N2_93 Y;N2_93 W;A104N Int;A104N Ext;A1 Y;A1 W;A3 Y;A3 W;A86 Nord Int;A86 Nord Ext;A86 Est Int;A86 Est Ext;N486 Pont W;N486 Pont Y;N1104 Int;N1104 Ext;N1104 Int;N1104 Ext;N2 Y;N2 W;N3 Y;N3 W;N4 Y;N4 W;A104 Est Int;A104 Est Ext;A4 Y;A4 W;N104 Est Int;N104 Est Ext;N19Y;N19W;N406Y;N406W;A86 SudEst Int;A86 SudEst Ext;N186 Int;N186 Ext;A86 Sud Int;A86 Sud Ext;A6A Y;A6A W;A6B Y;A6B W;A106Y;A106W;N7Y;N7W;N6 Y;N6 W;N104 SE Int;N104 SE Ext;N104 SO Int;N104 SO Ext;A6Y;A6W;A10Y;A10W;A126 Int;A126 Ext;N118 Sud Y;N118 Sud W;N118N Y;N118N W;A86 SO Int;A86 SO Ext;N10Y;N10W;N12Y;N12W;A12Y;A12W;A13 Y;A13 W;A13 Nord Y;A13 Nord W;N13 Y;N13 W;N186 Int;N186 Ext;N184O Int;N184O Ext;A15 Y;A15 W;N315Y;N315W;D914;A14 Y;A14 W;A86 NO Int;A86 NO Ext
;nuit  du; ;au;;;intérieur;extérieur;;A1;A3;A4;A6b;A13;;;;;;;;;;;;;PR0 a 19;PR19 a 0;PR0 a 25;PR25 a 0;;PR0 à 11;PR11 à 0;;;;;;;A3>77;77>A3;;;;;RD7/A3;A3/RD7;A3/A4;Ext.A4/A3;Int.;Ext.;int A1>N2;Ext N2>A1;int A1>N2;Ext N2>A1;;;A104/N330;;;;Int.N2>A4;Ext.A4>N2;;;Int.A4>N6;Ext.N6>A4;N406>N104;N104>N406;A86>N19;N19>A86;int A4>A6;ext A6>A4;PR46 a 49;PR49 a 46;int A6/N118;ext N118/A6;;;;;Y;W;Y;W;;;Int.A5a>A6;Ext.A6>A5a;Int.A6>N118;Ext.N118>A6;PR9 à 45;PR45 à 9;;;int.A6>A10;Ext.A10>A6;A86>A10;A10>A86;Sèvres>A86;A86>Sèvres;Int.PR52/63;Ext.PR63/52;A12>A10;A10>A12;A86>PR63;PR63>A86;;;BP/A12;A12/BP;A12/SAPN;SAPN/A12;;;;;;;Sud;;;;;N13 Neuilly;N13 Neuilly;int D913/D7;ext D7/D913
;dim;;;lun;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
janvier;lundi;1;;mardi;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;mardi;2;;mercredi;3;0;Muette>A13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;A3>RD42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;mercredi;3;;jeudi;4;Quai Issy>Muette;0;0;0;0;0;0;N;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;jeudi;4;;vendredi;5;0;Muette>A13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;ven;5;;sam;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;sam;6;;dim;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;dim;7;;lun;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
;lundi;8;;mardi;9;Dauphine>Bagnolet;0;0;E;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;Chapelle>Roissy;Roissy>Chapelle;0;0;0;0;A3>RD42;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;PR13 à 4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
